tick	day	mean_energy	std_energy	min_energy	max_energy	pct_hungry	pct_starving
7200	150	15.09	1.16	8.28	17.93	0.4	0.0
7248	151	15.08	1.17	8.08	17.75	0.4	0.0
7296	152	15.08	1.18	7.89	18.01	0.4	0.0
7344	153	15.07	1.18	7.73	17.83	0.5	0.0
7392	154	15.06	1.19	7.57	17.87	0.6	0.0
7440	155	15.05	1.20	7.41	17.91	0.6	0.0
7488	156	15.05	1.20	7.25	17.76	0.6	0.0
7536	157	15.04	1.21	7.09	17.74	0.6	0.0
7584	158	15.03	1.21	6.93	17.63	0.6	0.0
7632	159	15.03	1.22	6.77	17.67	0.5	0.0
7680	160	15.02	1.22	6.61	17.61	0.5	0.0
7728	161	15.02	1.23	6.49	17.82	0.5	0.0
7776	162	15.02	1.23	6.37	17.96	0.5	0.0
7824	163	15.02	1.23	6.24	17.78	0.5	0.0
7872	164	15.01	1.23	6.12	17.66	0.4	0.0
7920	165	15.01	1.23	6.00	17.67	0.4	0.0
7968	166	15.02	1.23	5.88	17.78	0.4	0.0
8016	167	15.02	1.22	5.75	17.91	0.4	0.0
8064	168	15.03	1.22	5.63	17.73	0.4	0.0
8112	169	15.03	1.21	5.51	17.77	0.3	0.0
8160	170	15.04	1.21	5.39	17.80	0.3	0.0
8208	171	15.04	1.20	5.26	17.63	0.3	0.0
8256	172	15.05	1.20	5.14	17.63	0.3	0.0
8304	173	15.05	1.19	5.01	17.73	0.3	0.0
8352	174	15.05	1.18	4.89	17.76	0.3	0.1
8400	175	15.06	1.18	4.76	17.79	0.3	0.1
8448	176	15.06	1.17	4.64	17.91	0.3	0.1
8496	177	15.06	1.17	4.52	17.74	0.2	0.1
8544	178	15.07	1.17	4.40	17.98	0.2	0.1
8592	179	15.07	1.17	4.33	17.80	0.3	0.1
8640	180	15.08	1.17	4.28	17.66	0.4	0.1
8688	181	15.09	1.17	4.24	17.73	0.4	0.1
8736	182	15.09	1.17	4.19	18.08	0.4	0.1
8784	183	15.10	1.17	4.15	18.00	0.4	0.1
8832	184	15.10	1.17	4.10	18.08	0.4	0.1
8880	185	15.10	1.18	4.23	17.89	0.4	0.1
